date,product,region,units_sold,revenue
2024-01-01,Laptop,Europe,167,167000
2024-01-01,Laptop,Asia,168,168000
2024-01-01,Laptop,North America,211,211000
2024-01-01,Monitor,Europe,202,60600
2024-01-01,Monitor,Asia,51,15300
2024-01-01,Monitor,North America,178,53400
2024-01-01,Tablet,Europe,153,61200
2024-01-01,Tablet,Asia,105,42000
2024-01-01,Tablet,North America,242,96800
2024-01-02,Laptop,Europe,218,218000
2024-01-02,Laptop,Asia,64,64000
2024-01-02,Laptop,North America,247,247000
2024-01-02,Monitor,Europe,100,30000
2024-01-02,Monitor,Asia,106,31800
2024-01-02,Monitor,North America,170,51000
2024-01-02,Tablet,Europe,154,61600
2024-01-02,Tablet,Asia,170,68000
2024-01-02,Tablet,North America,138,55200
2024-01-03,Laptop,Europe,143,143000
2024-01-03,Laptop,Asia,227,227000
2024-01-03,Laptop,North America,177,177000
2024-01-03,Monitor,Europe,226,67800
2024-01-03,Monitor,Asia,246,73800
2024-01-03,Monitor,North America,158,47400
2024-01-03,Tablet,Europe,206,82400
2024-01-03,Tablet,Asia,96,38400
2024-01-03,Tablet,North America,51,20400
2024-01-04,Laptop,Europe,237,237000
2024-01-04,Laptop,Asia,183,183000
2024-01-04,Laptop,North America,111,111000
2024-01-04,Monitor,Europe,148,44400
2024-01-04,Monitor,Asia,201,60300
2024-01-04,Monitor,North America,228,68400
2024-01-04,Tablet,Europe,166,66400
2024-01-04,Tablet,Asia,106,42400
2024-01-04,Tablet,North America,139,55600
2024-01-05,Laptop,Europe,117,117000
2024-01-05,Laptop,Asia,174,174000
2024-01-05,Laptop,North America,214,214000
2024-01-05,Monitor,Europe,59,17700
2024-01-05,Monitor,Asia,247,74100
2024-01-05,Monitor,North America,217,65100
2024-01-05,Tablet,Europe,192,76800
2024-01-05,Tablet,Asia,58,23200
2024-01-05,Tablet,North America,100,40000
2024-01-06,Laptop,Europe,138,138000
2024-01-06,Laptop,Asia,190,190000
2024-01-06,Laptop,North America,88,88000
2024-01-06,Monitor,Europe,67,20100
2024-01-06,Monitor,Asia,191,57300
2024-01-06,Monitor,North America,120,36000
2024-01-06,Tablet,Europe,56,22400
2024-01-06,Tablet,Asia,102,40800
2024-01-06,Tablet,North America,242,96800
2024-01-07,Laptop,Europe,210,210000
2024-01-07,Laptop,Asia,245,245000
2024-01-07,Laptop,North America,176,176000
2024-01-07,Monitor,Europe,65,19500
2024-01-07,Monitor,Asia,184,55200
2024-01-07,Monitor,North America,52,15600
2024-01-07,Tablet,Europe,147,58800
2024-01-07,Tablet,Asia,154,61600
2024-01-07,Tablet,North America,115,46000
2024-01-08,Laptop,Europe,65,65000
2024-01-08,Laptop,Asia,103,103000
2024-01-08,Laptop,North America,100,100000
2024-01-08,Monitor,Europe,216,64800
2024-01-08,Monitor,Asia,159,47700
2024-01-08,Monitor,North America,84,25200
2024-01-08,Tablet,Europe,226,90400
2024-01-08,Tablet,Asia,141,56400
2024-01-08,Tablet,North America,170,68000
2024-01-09,Laptop,Europe,245,245000
2024-01-09,Laptop,Asia,227,227000
2024-01-09,Laptop,North America,189,189000
2024-01-09,Monitor,Europe,207,62100
2024-01-09,Monitor,Asia,90,27000
2024-01-09,Monitor,North America,89,26700
2024-01-09,Tablet,Europe,68,27200
2024-01-09,Tablet,Asia,142,56800
